rating,review,place,date,des
4,Good quality product,Mumbai,5 months ago,Good product overall, there should be YouTube etc shoucut button on remote
4,Pretty good,Panapakkam,5 months ago,value for money
4,Very Good,Kancheepuram,5 months ago,value of money
4,Really Nice,Thana Bhawan,5 months ago,Good product but screen mirror function does not connect from phone. It needs an extra wi fi connection.
4,Good choice,Kannur,5 months ago,good product awesome picture quality
4,Really Nice,Chennai,5 months ago,on-time delivery but installation take more time after many follow up to jeevs
5,Classy product,Idar,5 months ago,Totally fine and best product.
5,Terrific purchase,Puducherry,5 months ago,Excellet
5,Just wow!,Agra,5 months ago,Would have wanted more buttons on remote. As picture settings etc cannot be changed while watching video but rather from main home screen.Great picture and audio quality. And awesome connectivity with everything on side. And not back.
5,Wonderful,Pune,5 months ago,Awesome
2,Not good,New Delhi,5 months ago,delivery is on time and quick but the installation time is too late which is not acceptable...
5,Classy product,Sultanpur,5 months ago,Worth buy in this price range...
3,Fair,Guwahati,5 months ago,The TV reached me in good condition and delivery was done well and good. The installation was done on the next day after continuous follow ups with the assigned agency. Well the TV box was suppose to have 4 nos of screws for the stand but to my surprise the screws were not there in my TV box. Also the batteries of the remote is not included.
5,Just wow!,Damoh,5 months ago,Awesome Product at very reasonable price  and better services By Flipkart and its seller really........
5,Classy product,Golaghat,5 months ago,Very nice TV
5,Fabulous!,Kiratpur,5 months ago,very gooooood
5,Terrific purchase,Jabalpur,5 months ago,Nice TV at least Price
5,Best in the market!,Gorakhpur,5 months ago,I was confused between VU smart tv and mi tv 4a pro because of some negative reviews for this tv around the issues like low brightness, restore the previous input mode when switched on again but went for it after some research. You can definitely go for this tv. Brightness can be increased to normal by switching off backlit led in display settings. Also one can set the tv to start from hdmi or av whenever switched on (so you don't have to set the input mode to d2h when you switch on youe tv a...
4,Good quality product,Hyderabad,5 months ago,TV is good, but installation service from Jeeves is worst, they delayed it by 5 days, no intimation either
5,Classy product,Nagpur,5 months ago,Unable to download Netflix**Rest of the features are excellent..Value for money..
4,Value-for-money,Kairana,5 months ago,Netflix does not support this is the main disadvantage of the MI LED plz updated your LEd
5,Mind-blowing purchase,Kharagpur,5 months ago,I am very happy..🥰🥰 actually I got the delivery yesterday & also mean time installation will be done yesterday.so quick service.everything is Soo good at this point of rang.gyuzzz just go for the tv. thanks Flipkart for that amazing deal 😘❤️ & also thanks Jeeves installation team.😊😊
5,Great product,Chennai,5 months ago,Full HD display
5,Wonderful,Lucknow,5 months ago,good value for money.
1,Worst experience ever!,Ysr District,5 months ago,HDMI cable connection with laptop they show unknown images
2,Moderate,Sibsagar,5 months ago,i am unable to play prime video.. there is no Netflix and prime video app in play store. i had downloaded from 3rd party app store but prime video did not work.now coming to tv screen its plastic not glass made.. i think vu is better option. also its automatically reboots at intervals of 3-4 hours while playing using wifi
4,Good quality product,Beawar,5 months ago,very good product
5,Super!,Bengaluru,5 months ago,Nice TV . value for money. the best product at this price range. but installation they market their products and unfortunately we have to buy the product with out any choice. what ever we save money we need to spend for wall stand and and other allied services
5,Classy product,Muzaffarpur,5 months ago,Good
3,Just okay,Patna,5 months ago,honest comment...1) Pictures are dull as compared to other big brand led tv.2) Sound is not clear.3) Frequent connectivity loss.4) Difficult to install and run outside apps.But overall...if you are thinking to just have a TV for next 3 years and change to better one...buy this one..for 18k I can't get much. So 3 star is best suited for this TV.
5,Perfect product!,Srivilliputhur,5 months ago,value for money
5,Great product,Thrissur,5 months ago,Excellent product worth for the money.
5,Classy product,Certified Buyer,5 months ago,I would give 6 out of 5 if possible.. best in that price range.. Only con.. sound is loud.. but bass not that much..
